doc_id,doc_name,doc_type,url
k6098,Türk Borçlar Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.6098.pdf
k4721,Türk Medeni Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.4721.pdf
k5237,Türk Ceza Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.5237.pdf
k6100,Hukuk Muhakemeleri Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.6100.pdf
k5271,Ceza Muhakemesi Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.5271.pdf
k4857,İş Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.4857.pdf
k6102,Türk Ticaret Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.6102.pdf
k2004,İcra ve İflas Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.2004.pdf
k6502,Tüketicinin Korunması Hakkında Kanun,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.6502.pdf
k5510,Sosyal Sigortalar ve GSS Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.5510.pdf
k213,Vergi Usul Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.213.pdf
k193,Gelir Vergisi Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.193.pdf
k3065,Katma Değer Vergisi Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.3065.pdf
k6331,İş Sağlığı ve Güvenliği Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.6331.pdf
k6698,Kişisel Verilerin Korunması Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.6698.pdf
k4054,Rekabetin Korunması Hakkında Kanun,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.4054.pdf
k2577,İdari Yargılama Usulü Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.2577.pdf
k5651,İnternet Yayınları Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.5651.pdf
k1136,Avukatlık Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.1136.pdf
k2942,Kamulaştırma Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.2942.pdf
k634,Kat Mülkiyeti Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.634.pdf
k5188,Özel Güvenlik Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.5188.pdf
k3194,İmar Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.3194.pdf
k2872,Çevre Kanunu,kanun,https://www.mevzuat.gov.tr/mevzuatmetin/1.5.2872.pdf
rg1928a,RG arşiv örneği 1,rg_tarihi,https://www.resmigazete.gov.tr/arsiv/1054.pdf
rg1935a,RG arşiv örneği 2,rg_tarihi,https://www.resmigazete.gov.tr/arsiv/3035.pdf
rg1945a,RG arşiv örneği 3,rg_tarihi,https://www.resmigazete.gov.tr/arsiv/6034.pdf
rg1955a,RG arşiv örneği 4,rg_tarihi,https://www.resmigazete.gov.tr/arsiv/9022.pdf
rg1965a,RG arşiv örneği 5,rg_tarihi,https://www.resmigazete.gov.tr/arsiv/12011.pdf
rg1975a,RG arşiv örneği 6,rg_tarihi,https://www.resmigazete.gov.tr/arsiv/15408.pdf
